"Protein","estimate","std_error","statistic","pvalue","Padj","mean_diabetes_nonDN","mean_diabetes_DN"
"SERPINB8",0.219029153480104,0.0561668351463175,3.89961714790447,0.000102769542115609,0.0021147366342381,0.147665926395939,0.357178110599078
"ST6GAL1",0.0994018963803076,0.0254857249094189,3.90029699895141,0.000102459611328082,0.0021147366342381,0.0558411097099622,0.158665740740741
"CXCL10",0.225575875133873,0.0579530547369615,3.89238973092483,0.000105887450941209,0.00213381470103595,0.164018280254777,0.384132783018868
"LAMP2",0.066772219821366,0.0171449138746432,3.894578900167,0.000105196135955084,0.00213381470103595,0.0412831125827815,0.115223671497585
"SCARB2",0.113990105845826,0.0292708326712591,3.89432398886801,0.00010527600451968,0.00213381470103595,0.102890382081686,0.217362801932367
"PRCP",0.119042050821691,0.0306583157133714,3.88286336192213,0.000110052391273143,0.00220255539246659,0.246159948979592,0.356257009345794
"RNF149",0.108678272128341,0.0279925306657644,3.88240253894792,0.00011181982319163,0.00222270424058465,0.04551140625,0.156074011299435
"DNER",-0.0994690856288227,0.0258914960467145,-3.84176663447166,0.000129967084902879,0.00256597177085279,-0.0135835256410256,-0.117044736842105
"CRH",-0.288129309362346,0.0750601285486612,-3.83864662815696,0.000131746179338325,0.00258363983910459,-0.204428309305374,-0.489036602870813
"EPHB4",0.0864027721782913,0.0225263373720622,3.83563340773944,0.000133042755606692,0.00259167287921836,0.00792042875157629,0.0872071759259259
"CD46",0.101694155601842,0.0265476533264663,3.8306269240174,0.000135962600560382,0.00263101138302938,0.0363318595578674,0.139189201877934
"CTSO",0.104329676744853,0.0272906038708847,3.82291565399026,0.000140026663795151,0.00267423471640152,0.173057804568528,0.274877188940092
"ICAM1",0.101338764590017,0.0265038266594456,3.82355219463757,0.000139839907304588,0.00267423471640152,0.0937405966277562,0.198227102803738
"FAS",0.093126133520145,0.0244720012756264,3.8054155224688,0.000150154601426446,0.0028490373075849,0.108394043092522,0.187733564814815
"GGH",0.115863609624613,0.0304824946300914,3.80098843715489,0.000153136458452418,0.0028868692361159,0.113129172141919,0.234296666666667
"SPON2",0.122334267613611,0.0324812336502482,3.76630607479023,0.000175479272970678,0.00328686176679693,0.105421778350515,0.226136976744186
"EDN1",0.0952494116679617,0.0253040757368351,3.76419248260893,0.000179109016170074,0.00329155059905004,0.022682265625,0.122390960451977
"HNMT",0.181146397372592,0.0481489556681386,3.76220823191106,0.000178484204893622,0.00329155059905004,0.228901236979167,0.397718899521531
"PHOSPHO1",0.105105360534887,0.0279348712710281,3.76251458312227,0.000178185194232254,0.00329155059905004,0.0620765161290323,0.157392380952381
"CDCP1",0.18108353228517,0.0482919485781842,3.74976652664984,0.000187355627521045,0.00342158214760308,0.235985935483871,0.405970476190476
"CAPG",0.201303292895256,0.0537843728039422,3.74278405419095,0.000192565047866031,0.00349487621033877,0.0481979247730221,0.241245093457944
"MFGE8",0.152053292383458,0.0406795092429772,3.73783497424341,0.000196262205800051,0.00353998867498611,0.21621540436457,0.363573474178404
"EFNA4",0.105729534630047,0.0283461537904687,3.72994288437107,0.000202503207094824,0.00363014951614157,0.116466903225806,0.220147619047619
"SIGLEC1",0.146144717068908,0.0392067240740813,3.72754216324646,0.000204277837208455,0.00363963317270187,0.165000127388535,0.307887735849057
"CD163",0.149467893701892,0.0404110271155012,3.69869078741029,0.000228632313277718,0.00404887042059086,0.21562323491656,0.362086046511628
"IL19",0.24818221691536,0.0671677653367841,3.69496015940021,0.000232247596573013,0.00408811733244786,0.18694270696452,0.404068720379147
"DTNB",0.141864397483579,0.0384135822812757,3.69307908970338,0.000236106861749906,0.0041092079359838,0.174501391035549,0.301844565217391
"NOMO1",0.0801387319323619,0.0217162555587512,3.69026472890571,0.000236258361822477,0.0041092079359838,0.103958536585366,0.179900938967136
"XCL1",0.179006186442981,0.0486649372728369,3.678340022086,0.000247306463600826,0.00427591412213972,0.13782662835249,0.311777752293578
"BTN2A1",0.0883084428709489,0.024050871391351,3.67173569032121,0.000253751291315655,0.00436153690131967,0.0465469426751592,0.132549056603774
"PILRB",0.187269909614183,0.051135654478772,3.66221790887461,0.000263265647568597,0.00449860948652305,0.022500641025641,0.202524186046512
"FAM20A",0.0917921660408338,0.0252236828335531,3.63912623888253,0.000290481389010767,0.00493480592261314,0.116835429447853,0.209072527472527
"NPDC1",0.10927570146519,0.0300816311643638,3.63263883092361,0.000294921912963618,0.00498128225248376,0.0307339743589744,0.138233488372093
"FABP3",0.181938547380569,0.0500785091438249,3.63306636900959,0.000297281693235137,0.00499228222777626,0.273693788343558,0.429580494505495
"ELOA",0.185236475800404,0.0512821630927231,3.61210340260956,0.000319201009022416,0.00532974484779143,0.185225261096606,0.361711448598131
"SMOC1",0.0954819648009071,0.026497628691459,3.6034154570097,0.000329581668276028,0.00547180474262814,0.0835966794380587,0.171776146788991
"ATRAID",0.0883413537105657,0.0245887986915331,3.59274785315092,0.000346472420977414,0.00568759783200003,0.0351306153846154,0.119846467391304
"CD300C",0.112717003617927,0.0313931291812056,3.59049914926633,0.000346131934523364,0.00568759783200003,0.0746375318066158,0.185232558139535
"EDA2R",0.12005108589755,0.0334594996939655,3.58795221074991,0.000349486017426966,0.00570501755822119,0.0635540229885058,0.170553211009174
"B4GALT1",0.0913184331798365,0.0256075186182478,3.56607895287298,0.000379641037760958,0.00615239857575006,0.0454214649681529,0.13076179245283
"LTBP3",0.184639381500239,0.0517871907934886,3.56534847075455,0.000381103402536195,0.00615239857575006,0.201739659685864,0.371371428571429
"S100A13",0.113067263499699,0.031734573372049,3.56290479075057,0.000388322535393251,0.00620756398918756,0.0406658018867925,0.148820114942529
"SORBS1",0.166982233115181,0.0468766443965196,3.56216267748847,0.000388769407947065,0.00620756398918756,0.144063880368098,0.309211538461538
"EFNA1",0.0936200908098903,0.0263218752438859,3.55674092147506,0.000393320167783909,0.00624609527317708,0.0259327984595635,0.126060141509434
"PAM",0.0864874173738151,0.0243285172654387,3.55498103029402,0.00039572795394987,0.0062503626023866,-0.0502311308767471,0.0383679069767442
"LAMP3",0.169792286069913,0.0478396093142914,3.54919884387914,0.000404353924295094,0.00635226971392615,0.0303883248730964,0.191588940092166
